feature_id,road_id,road_part_id,road_name,start_km,finish_km,road_length,geom_length,value_of_the_road,value_of_the_road_gid,geometry_type,geometry,passport_id,road_data_id,full_name,road_number_full,road_number_short,region,city,municipality,owner,category,class_of_road,length_km,start_passport,finish_passport,traffic,traffic_1,capacity,capacity_1,capacity_2,capacity_3,lanes,lanes_1,speed_limit,speed_limit_1,value_of_the_road_passport
2348547,177744,177744,ул Балакирева,0.0,0.16,0.16,0.162,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9228598.584826846, 7372252.179682516, 0], [9228544.417, 7372324.710600004, 51.145377104088084], [9228434.842225919, 7372483.186899224, 160]]]",374746348,374746349,ул Балакирева,50-401 372 ОП МГ 03110,03110,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.16,0+000,0+160,[200],200.0,[60],60.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
2350272,177856,177856,ул Паромная,0.0,0.19,0.19,0.195,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9227306.0713, 7367502.404100001, 0], [9227300.900084516, 7367498.34601184, 3.676734642809924]], [[9227306.0713, 7367502.404100001, 3.676734642809924], [9227350.2614, 7367550.177299999, 40.076732790805465], [9227398.3829, 7367596.092699997, 77.2794965205113], [9227409.403499998, 7367615.320699997, 89.67568477866313], [9227414.746800002, 7367629.110600002, 97.94765422357568], [9227417.8638, 7367639.404399998, 103.96351558745513], [9227419.8675, 7367651.4463, 110.79158394849007], [9227421.3147, 7367666.2073, 119.0875221486612], [9227420.7581, 7367676.306999996, 124.74521553583179], [9227418.643, 7367685.824000001, 130.1982906880327], [9227379.909641603, 7367785.476785937, 190]]]",374768517,374768518,ул Паромная,50-401 368 ОП МГ 02061,02061,Новосибирская область,,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.19,0+000,0+190,[2000],2000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
2380877,175595,175595,спуск Бийский Конный,0.0,0.1,0.1,0.1,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232624.4164, 7367600.339100003, 0], [9232625.6107, 7367621.239799999, 11.986528262471701], [9232632.179499999, 7367671.401600003, 40.95262701396705], [9232636.359700002, 7367719.771899998, 68.7509915838556], [9232636.359700002, 7367737.089699998, 78.66655588630736], [9232632.179499999, 7367774.113899998, 100.00000000000001]]]",374797483,374797484,спуск Бийский Конный,50-401 379 ОП МГ 07065,07065,Новосибирская область,,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.1,0+000,0+100,[2000],2000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
9631,176934,176934,ул Галилея,0.0,0.08,0.08,0.088,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9229195.413400002, 7375262.7228000015, 0], [9229279.7936, 7375134.993900001, 80]]]",374760274,374760275,ул Галилея,50-401 372 ОП МГ 03121,03121,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.08,0+000,0+080,[1800],1800.0,[3600],3600.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
3997,176723,176723,ул Деповская,0.0,0.345,0.345,0.352,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9230530.690699998, 7372459.389799997, 0], [9230534.364300001, 7372445.397100002, 8.129019867569209], [9230605.274799999, 7372176.430200003, 164.42701431744274], [9230608.9483, 7372162.438000001, 172.55574817623804], [9230618.076499999, 7372127.651799999, 192.76405726467752], [9230637.5574, 7372053.610299997, 235.78429738579874], [9230640.3404, 7372043.310599998, 241.77929763501416], [9230671.9551, 7371923.407700002, 311.4559622782275], [9230684.534200002, 7371875.602600001, 339.23227171299044], [9230687.205899999, 7371865.691799998, 345]]]",374762775,374762776,ул Деповская,50-401 372 ОП МГ 03129,03129,Новосибирская область,,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.345,0+000,0+345,[1000],1000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
2391994,179374,179374,ул Ленинградская,0.0,3.29,3.29,3.296,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232685.8361, 7366004.796099998, 0], [9232695.520799998, 7365997.417099997, 6.979917912401397], [9232929.514400002, 7365817.217699997, 176.29014773606087], [9232975.9346, 7365781.2949, 209.939410823035], [9232988.8477, 7365772.168499999, 219.00440018777243], [9233239.316599999, 7365592.945200004, 395.56539394029534], [9233346.7399, 7365516.053300001, 471.29877612029964]], [[9233766.53656862, 7365212.082569208, 471.29877612029964], [9233845.362254038, 7365158.337783695, 525.9917236855513], [9233953.448989348, 7365081.303591126, 602.0820115495717], [9234152.901860032, 7364941.567148794, 741.692727603996], [9234400.127873389, 7364769.583835154, 914.3418181252622], [9234504.034458714, 7364695.535464003, 987.4871922765939], [9234673.548965191, 7364577.573500027, 1105.879541029361], [9234739.237036373, 7364523.231550234, 1154.7526206504751], [9234803.730778988, 7364477.249900407, 1200.1600496764513], [9234852.698250234, 7364446.197357666, 1233.4004884918309], [9234925.552292822, 7364398.424214989, 1283.3445189281356], [9234978.102749767, 7364361.997193697, 1320.0004276989284], [9235044.38798523, 7364314.224051018, 1366.8409234668743], [9235090.191336725, 7364270.974215046, 1402.9549633308866], [9235114.077908063, 7364244.698986573, 1423.3119311272164], [9235136.172986554, 7364226.784058069, 1439.6189363169005], [9235197.65247136, 7364189.16270821, 1480.9388876019261], [9235333.805927992, 7364093.019258565, 1576.4908536528512], [9235415.020270545, 7364036.288651636, 1633.2831025637574]], [[9235853.805372287, 7363710.806794136, 1633.2831025637574], [9235935.01971484, 7363655.867680056, 1689.4935322787599], [9236115.363328451, 7363545.989451897, 1810.557854123345], [9236203.146478126, 7363473.135409309, 1875.955444246231], [9236396.03054169, 7363336.384788396, 2011.5019856461458], [9236533.975491168, 7363222.923574534, 2113.8958269025825], [9236788.973010067, 7363039.3384958645, 2294.023973985727], [9236931.695273818, 7362937.820567674, 2394.429867414152], [9237056.482330173, 7362850.634582289, 2481.698102559969], [9237194.64890882, 7362745.533668396, 2581.2174275361112], [9237280.64056564, 7362677.45694008, 2644.092428869032], [9237379.172672408, 7362613.560361747, 2711.4159012726195], [9237528.463743271, 7362510.2509407075, 2815.4944166494124], [9237633.564657165, 7362435.605405273, 2889.396142300645], [9237734.957435101, 7362355.946548559, 2963.3153668082064], [9237803.6313277, 7362308.173405881, 3011.273447508247], [9237900.969105905, 7362240.096677563, 3079.3680276548357], [9238061.60629816, 7362120.06665659, 3194.3258018692895], [9238161.929897774, 7362047.212614006, 3265.4039163402267], [9238197.1625905, 7362022.7288783835, 3290]]]",201416358,33583,ул Ленинградская,50-401 379 ОП МГ 07019, 07019,Новосибирская область,г Новосибирск,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),3.29,0+000,3+290,[2000],2000.0,[3600],3600.0,,,[2],2.0,"[40, 60]",40.0,Автомобильные дороги местного значения
2362372,179521,179521,ул Брестская,0.0,0.7,0.7,0.35,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9231334.640099999, 7372045.6426, 0], [9231251.8184, 7372357.359899998, 369.3311727260345], [9231248.478799999, 7372423.630599998, 445.3139216399201], [9231234.0073, 7372645.5735, 700]]]",374751734,374751735,ул Брестская,50-401 372 ОП МГ 03116,03116,Новосибирская область,,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.7,0+000,0+700,[600],600.0,[1200],1200.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
2383383,175688,175688,ул Галковского,0.0,0.42,0.42,0.418,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9234390.916700002, 7374802.558600001, 0], [9234387.465799998, 7374804.696999997, 2.335934253935078], [9234384.9054, 7374808.7795, 5.108722878018802], [9234384.2375, 7374813.6395, 7.93140431156012], [9234389.580899999, 7374852.131399997, 30.291662561771204], [9234389.469500002, 7374867.2949, 39.016832197185806], [9234386.018599998, 7374892.7619, 53.80422085044555], [9234394.4789, 7375018.737099998, 126.45243595721062], [9234408.616500001, 7375137.326800004, 195.17099788925506], [9234424.646499999, 7375253.974200003, 262.91960188085375], [9234447.133000001, 7375387.343199998, 340.74195777742347], [9234469.619600002, 7375523.241899997, 419.99999999999994]]]",374760397,374760398,ул Галковского,50-401 373 ОП МГ 04100,04100,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.42,0+000,0+420,[200],200.0,[3600],3600.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
615934,1057162,1057162,ул Садовая,0.0,1.1,1.1,0.736,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232064.3393, 7365873.7238000035, 0], [9232063.782699998, 7365863.2381, 9.012487617217523], [9232063.6714, 7365859.548699997, 12.18051944884508], [9232063.5601, 7365857.412699997, 14.016323358183119], [9232060.331799999, 7365795.469800003, 67.25372068275882], [9232061.1111, 7365791.197899997, 70.98077817628167], [9232064.005399998, 7365787.896899998, 74.7488344811154], [9232104.1917, 7365759.352899998, 117.05585756012654], [9232123.2273, 7365745.954700001, 137.0352438880416], [9232159.2949, 7365721.488499999, 174.44217718988855], [9233028.099399999, 7365082.694399998, 1100]]]",374780850,374780851,ул Садовая,50-401 379 ОП МГ 07172,07172,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),1.1,0+000,1+100,[150],150.0,[400],400.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
2391213,179249,179249,ул Журинская,0.0,1.047,1.047,0.84,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9231622.374713816, 7368952.319003695, 0], [9231679.702485029, 7368964.262289362, 41.90202336453095], [9231708.339604085, 7368945.084920491, 66.56388475128385], [9231825.4477084, 7368968.978467153, 152.08773655448934]], [[9231837.358893916, 7369004.916053518, 152.0877365544893], [9231994.987292878, 7369033.471983704, 266.715677258799], [9232014.134245295, 7369019.291134532, 283.7648871834116], [9232088.161706673, 7369031.140883435, 337.4100672598039], [9232085.823997365, 7369071.740979611, 366.50984884886304], [9232164.638196848, 7369081.259693093, 423.31568095591575], [9232195.696334777, 7369071.740979611, 446.5598583767205], [9232298.33290529, 7369090.778418215, 521.2548072298729]], [[9233000.647572706, 7369157.798343042, 521.2548072298729], [9233163.062709773, 7369184.02368812, 638.9773286700389]], [[9233344.624799257, 7369224.624581845, 638.9773286700389], [9233908.424420988, 7369309.934018116, 1047]]]",374763172,374763173,ул Журинская,50-401 364 ОП МГ 01170,01170,Новосибирская область,,,Мэрия города Новосибирска,III,Обычная автомобильная дорога (нескоростная автомобильная дорога),1.047,0+000,1+047,"[2000, 4000]",2000.0,[3600],3600.0,,,"[1, 2]",1.0,[60],60.0,Автомобильные дороги местного значения
2378647,175319,175319,ул Осоавиахима,0.0,1.4,1.4,1.404,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232675.4833, 7373861.318800002, 0], [9232783.018, 7373912.246299997, 68.1093614041263], [9232840.589899998, 7373929.086099997, 102.44562398777347], [9233040.0427, 7373998.357199997, 223.30652344244513], [9233204.860100001, 7374043.741700001, 321.1630977433319], [9233640.79, 7374160.785899997, 579.5367635832033], [9234057.6107, 7374284.996100001, 828.5025739476631], [9234369.330400001, 7374374.570699997, 1014.1586730203162], [9234572.366300002, 7374436.675800003, 1135.6964237790337], [9234592.072700001, 7374456.382200003, 1151.649283475808], [9234614.764899999, 7374466.534000002, 1165.8794089348314], [9235022.031, 7374504.155299999, 1400]]]",374767506,374767507,ул Осоавиахима,50-401 373 ОП МГ 04139,04139,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),1.4,0+000,1+400,[200],200.0,[3600],3600.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
2379270,175315,175315,ул Кубановская,0.0,0.45,0.45,0.453,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9227313.668699998, 7367481.696500003, 0], [9227370.886999998, 7367402.843699999, 55.57323791786718], [9227383.4661, 7367383.616099998, 68.67964674763469], [9227421.648699999, 7367310.008199997, 115.97982215447033], [9227436.008900002, 7367283.789099999, 133.03196917089394], [9227453.9313, 7367255.6281, 152.07280089088653], [9227510.5929, 7367179.4965, 206.20717981460473], [9227597.4221, 7367065.883299999, 287.77360040049103]], [[9227702.17424907, 7367644.895212044, 287.77360040049103], [9227666.344392061, 7367625.188790689, 311.09892456612874], [9227619.168413667, 7367606.6766979005, 340.00666391981974], [9227586.324378075, 7367590.553262247, 360.8772529289831], [9227554.077506768, 7367575.0269908765, 381.2925514964745], [9227523.024964027, 7367557.709226656, 401.5738469354431], [9227487.195107019, 7367546.36310527, 423.01212960604835], [9227462.114207113, 7367544.57161242, 437.3551937132428], [9227442.407785758, 7367554.723405238, 450]]]",201413180,30404,ул Кубановская,50-401 368 ОП МГ 02017,02017,Новосибирская область,г Новосибирск,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.45,0+000,0+450,[2000],2000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
10090,174742,174742,ул Военная Горка (5-я Линия),0.0,0.22,0.22,0.218,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9233396.3884, 7368207.529200003, 0], [9233373.011300001, 7368327.568999998, 70.6642836814564], [9233373.7905, 7368348.352799997, 82.6819895351582], [9233377.575399999, 7368366.222999997, 93.2367864870111], [9233381.360199999, 7368380.596900001, 101.82539114681478], [9233388.1507, 7368392.251500003, 109.61931966464721], [9233460.174400002, 7368425.467, 155.44833336831246], [9233473.755399998, 7368434.7907000035, 164.96700816684452], [9233487.559, 7368449.358900003, 176.563353989116], [9233519.5077, 7368492.8697, 207.75437711481803], [9233522.2907, 7368502.193400003, 213.37665940560882], [9233522.068100002, 7368513.6538999975, 220]]]",374758154,374758155,ул Военная Горка (5-я Линия),50-401 379 ОП МГ 07134,07134,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.22,0+000,0+220,[200],200.0,[3600],3600.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
2390792,179693,179693,ул Покатная,0.0,0.55,0.55,0.549,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232956.5651, 7366917.897200003, 0], [9233137.459199999, 7366927.801700003, 104.26775379117139], [9233287.2687, 7366926.737800002, 190.4913059905585], [9233518.9685, 7366915.988799997, 323.9872615205777], [9233576.8847, 7366905.985299997, 357.8139252606986], [9233628.846700002, 7366895.685199998, 388.30202724621597], [9233689.7575, 7366861.049699999, 428.6298711245904], [9233731.559, 7366841.940399997, 455.0830046698778], [9233773.3605, 7366837.163099997, 479.29805080371966], [9233804.412999999, 7366844.329099998, 497.63972361717475], [9233837.854200002, 7366864.632700004, 520.156145128379], [9233878.461399999, 7366896.879500002, 550]]]",201416631,33856,ул Покатная,50-401 ОП МГ 00007,00007,Новосибирская область,г Новосибирск,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.55,0+000,0+550,[2000],2000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
